model,input,val_mse,val_mae,val_r2,test_mse,test_mae,test_r2
Late Fusion HistGradientBoosting,text + image,1.0329771877837763,0.7566614636107093,0.5584066136385972,1.1474951295145535,0.819162014865823,0.4703733307644977
Late Fusion RidgeCV,text + image,1.041268944227109,0.771799333319457,0.5548619227683651,1.1498434440010736,0.8205821963731726,0.4692894656152493
Late Fusion LinearRegression,text + image,1.041269479153311,0.7717774340307918,0.5548616940896722,1.1498790935378138,0.8205852595341124,0.4692730115624887
Text Only,review text,1.103959154207735,0.8225760388185336,0.5280621226910309,1.1626231478282465,0.8485828015115169,0.4633909900594836
Weighted Average w_text=1.00,text + image,1.103959154207735,0.8225760388185336,0.5280621226910309,1.1626231478282465,0.8485828015115169,0.4633909900594836
Image Only OOF Stack,poster image,2.298324844389552,1.2676051322142914,0.017475832965857085,2.098292797075132,1.1907447066493855,0.03153242518259136
Dummy Mean,none,2.347507600171295,1.2903715902544814,-0.003549587472364557,2.1684552129258607,1.2197550429137802,-0.0008510557200753777
