model,oof_train_mse,oof_train_mae,oof_train_r2,cv_val_mse,cv_val_mae,cv_val_r2,cv_test_mse,cv_test_mae,cv_test_r2,full_val_mse,full_val_mae,full_val_r2,full_test_mse,full_test_mae,full_test_r2
dummy_mean,2.155792805041481,1.2309217602827274,-0.0002170912040724282,2.347507600171295,1.2903715902544814,-0.003549587472364557,2.1684552129258607,1.2197550429137802,-0.0008510557200753777,2.347507600171295,1.2903715902544814,-0.003549587472364557,2.1684552129258607,1.2197550429137802,-0.0008510557200753777
extra_trees,2.1370181683131357,1.20215961741467,0.008493723904375639,2.3566976525208028,1.2665555811079572,-0.00747829604971928,2.1365991725686286,1.1935437653724243,0.013852107818902004,2.381624339278382,1.2683528663053811,-0.018134349393613025,2.148552370373023,1.193981217189559,0.008335106328418274
random_forest,2.1404095226711948,1.2017546282579907,0.006920246813568287,2.364117820846559,1.2667927097745482,-0.010650386679689872,2.142030671855154,1.195467478654584,0.011345197940082596,2.4004822666665184,1.2687824009144317,-0.02619603373046764,2.15991806860522,1.198032147029472,0.0030892654150883603
mlp,2.278913074726562,1.252648242263759,-0.0573408545475087,2.477887808885989,1.3135457851268626,-0.05928657620911859,2.254126508178557,1.2350071814088595,-0.04039266386003515,2.493252176763413,1.3234583573871188,-0.06585477860558275,2.319766945004516,1.2628175068114484,-0.07068902419230372
ridge,2.369385428321596,1.2701024244601642,-0.09931705659048284,2.4940628385166246,1.3046079257682517,-0.06620133308232035,2.319120123769758,1.2446306291080655,-0.0703904836866891,2.492303764961883,1.3031089918701737,-0.06544933656479435,2.319839106203374,1.2446055188775063,-0.07072233021201257
hist_gradient_boosting,2.27719250874172,1.220078775205635,-0.056542568413257666,2.500196499830001,1.2743625980764568,-0.06882344739636337,2.28319804065868,1.2266613143145266,-0.0538106370792617,2.543057993778419,1.281167419009673,-0.08714655509034719,2.324671849228177,1.2371998899428864,-0.07295288398576161
