Model,Val MSE,Val MAE,Val R2,Test MSE,Test MAE,Test R2
image_oof_stacked_ensemble,2.306901731353424,1.2705234868039126,0.013809250001966977,2.104614059534878,1.193525204016064,0.028614844884594648
dummy_mean,2.347507600171295,1.2903715902544814,-0.0035495874723645,2.1684552129258607,1.2197550429137802,-0.0008510557200753
extra_trees,2.3566976525208028,1.2665555811079572,-0.0074782960497192,2.1365991725686286,1.1935437653724243,0.013852107818902
random_forest,2.364117820846559,1.2667927097745482,-0.0106503866796898,2.142030671855154,1.195467478654584,0.0113451979400825
mlp,2.477887808885989,1.3135457851268626,-0.0592865762091185,2.254126508178557,1.2350071814088597,-0.0403926638600351
ridge,2.4940628385166246,1.3046079257682517,-0.0662013330823203,2.319120123769758,1.2446306291080655,-0.0703904836866891
hist_gradient_boosting,2.500196499830001,1.2743625980764568,-0.0688234473963633,2.28319804065868,1.2266613143145266,-0.0538106370792617
